"","Brand","Country","Whiskies","Votes","Rating","WB Ranking",""
"996","Cú Dhub","Scotland",4,3,67.05,"G",NA
"997","Cùl na Creagan","Scotland",2,NA,NA,"G",NA
"998","Cullicudden","Scotland",3,NA,NA,"G",NA
"999","Culloden","Scotland",5,2,80,"D",NA
"1000","Culter Highland","Scotland",1,1,85,"C",NA
"1001","Culter Speyside","Scotland",1,1,83,"D",NA
"1002","Cumberland Cask","United States",1,NA,NA,"G",NA
"1003","Cumbrae Castle","Scotland",1,NA,NA,"G",NA
"1004","Curtis","Scotland",4,NA,NA,"G",NA
"1005","Cut Spike","United States",2,2,87,"C",NA
"1006","Cutty Black","Scotland",2,1,71.67,"F",NA
"1007","Cutty Sark","Scotland",61,41,79.36,"E",NA
"1008","Cyril's Singlewood","New Zealand",4,1,82,"D",NA
"1009","Cyrus Noble","United States",1,1,84.5,"D",NA
"1010","D & D","Scotland",1,NA,NA,"G",NA
"1011","D is for Decadence","Scotland",1,1,85,"C",NA
"1012","D'Arche","",1,NA,NA,"G",NA
"1013","D. W. D. - Dublin Whiskey Distillery","Ireland",2,2,82.5,"D",NA
"1014","D.U.C","France",1,NA,NA,"G",NA
"1015","Da Johann","Austria",2,NA,NA,"G",NA
"1016","Dà Mhìle","United Kingdom",4,2,79,"E",NA
"1017","Dad's Hat","United States",11,5,80.03,"D",NA
"1018","Daftmill","Scotland",2,2,87.59,"C",NA
"1019","Dailuaine","Scotland",580,418,84.96,"D",NA
"1020","Dakota Spirits","United States",2,NA,NA,"G",NA
"1021","Daks","Scotland",2,NA,NA,"G",NA
"1022","Dalaruan","Scotland",5,2,84.44,"D",NA
"1023","Dalchully","Scotland",1,NA,NA,"G",NA
"1024","Dallas Dhu","Scotland",306,214,87.7,"C",NA
"1025","Dallmayr Islay Select","Scotland",3,3,86.67,"C",NA
"1026","Dallmayr Speyside Select","Scotland",2,1,80,"D",NA
"1027","Dalmore","Scotland",533,384,85.86,"C",NA
"1028","Dalriada","Scotland",1,1,76.33,"E",NA
"1029","Dalvany","Switzerland",1,NA,NA,"G",NA
"1030","Dalvegan","Scotland",3,1,82,"D",NA
"1031","Dalwhinnie","Scotland",105,79,83.65,"D",NA
"1032","Dancing Cows","United Kingdom",2,NA,NA,"G",NA
"1033","Dancing Pines","United States",1,NA,NA,"G",NA
"1034","Dandie Dinmont","Scotland",1,NA,NA,"G",NA
"1035","Danfield's","Canada",2,2,87.38,"C",NA
"1036","Daniel Boone","United States",3,1,77,"E",NA
"1037","Daniel Crawford's","Scotland",3,NA,NA,"G",NA
"1038","Danne's","Germany",8,3,70.11,"F",NA
"1039","Dannie Diesel's","United States",1,NA,NA,"G",NA
"1040","Danny Boy","Ireland",3,2,80.95,"D",NA
"1041","Danny Deever's","Scotland",1,NA,NA,"G",NA
"1042","Darach - Ruadh","Scotland",2,2,83.25,"D",NA
"1043","Darby's Reserve","United States",1,NA,NA,"G",NA
"1044","Dark Castle","Scotland",1,NA,NA,"G",NA
"1045","Dark Corner","United States",6,NA,NA,"G",NA
"1046","Dark Horse","United States",4,2,80,"D",NA
"1047","Dark Northern","United States",1,NA,NA,"G",NA
"1048","Dark Whisky","Scotland",1,1,73.5,"F",NA
"1049","Darkness!","Scotland",1,1,91.5,"B",NA
"1050","Dartmoore","Scotland",1,NA,NA,"G",NA
"1051","David Nicholson","United States",1,NA,NA,"G",NA
"1052","David Nicholson 1843","United States",5,1,84.22,"D",NA
"1053","David Ston","Scotland",1,NA,NA,"G",NA
"1054","Daviess County","United States",1,NA,NA,"G",NA
"1055","DB 53","France",1,1,82,"D",NA
"1056","De IJsvogel","Netherlands",5,2,75.88,"E",NA
"1057","De Luxe","Scotland",1,NA,NA,"G",NA
"1058","Dean's","Scotland",2,1,68.6,"G",NA
"1059","Deanston","Scotland",204,164,84.42,"D",NA
"1060","Deanston Mill","Scotland",4,3,59,"G",NA
"1061","Death's Door","United States",2,1,74,"F",NA
"1062","Deerhammer","United States",3,NA,NA,"G",NA
"1063","Deerstalker","Scotland",9,6,80.08,"D",NA
"1064","Defender","Scotland",2,NA,NA,"G",NA
"1065","Defiant","United States",3,2,71.56,"F",NA
"1066","Deheck","Germany",1,1,81,"D",NA
"1067","Del Bac","United States",6,5,81.9,"D",NA
"1068","Delaney's","Ireland",1,1,76,"E",NA
"1069","Delaware Phoenix Distillery","United States",5,1,79,"E",NA
"1070","Delicious Malts","",1,1,87,"C",NA
"1071","Delilah's","Scotland",2,2,85.56,"C",NA
"1072","DeLuxe Blended","Scotland",1,1,88.17,"C",NA
"1073","Delva","Scotland",1,NA,NA,"G",NA
"1074","DenHool","Netherlands",3,2,82.3,"D",NA
"1075","Der Falckner","Germany",6,1,70,"F",NA
"1076","Der kleine Lord","Germany",1,NA,NA,"G",NA
"1077","Der Kolonist","Germany",1,1,76,"E",NA
"1078","Der Schwarzbrenner","Germany",1,NA,NA,"G",NA
"1079","Derrina","Germany",4,3,74,"F",NA
"1080","Desmond & Duff","Scotland",4,1,81,"D",NA
"1081","Destillerie Hirtner","",1,NA,NA,"G",NA
"1082","Deventer Whisky","Scotland",1,NA,NA,"G",NA
"1083","Deviant","Scotland",1,1,89.88,"C",NA
"1084","Devil John","United States",2,NA,NA,"G",NA
"1085","Devil's Share","United States",4,NA,NA,"G",NA
"1086","Devolution Dram","Scotland",2,NA,NA,"G",NA
"1087","Dew of Ballindalloch","Scotland",2,1,84,"D",NA
"1088","Dew of Ben Alder","Scotland",4,NA,NA,"G",NA
"1089","Dew of Ben Nevis","Scotland",16,9,66.16,"G",NA
"1090","Dewar's","Scotland",88,51,79.75,"E",NA
"1091","Dhoon Glen","Scotland",1,1,80,"D",NA
"1092","Dhunomhainn","Scotland",1,NA,NA,"G",NA
"1093","Dice","Scotland",1,NA,NA,"G",NA
"1094","Die Whiskybotschaft GmbH","Germany",2,1,85,"C",NA
"1095","Diedenacker","Luxembourg",7,6,68.33,"G",NA
"1096","Diggers & Ditch","New Zealand",3,1,83.92,"D",NA
"1097","Dillon's","Canada",3,1,77,"E",NA
"1098","Dimple","Scotland",57,28,78.97,"E",NA
"1099","Diners","Scotland",4,2,89,"C",NA
"1100","Diners' Club","Scotland",1,NA,NA,"G",NA
"1101","Dingle","Ireland",13,12,81.55,"D",NA
"1102","Diomhair'eachd","",1,NA,NA,"G",NA
"1103","Diplomat Deluxe","India",NA,NA,NA,"G",NA
"1104","Diplomat Reserve","Scotland",1,NA,NA,"G",NA
"1105","Director's Choice","Scotland",1,1,72,"F",NA
"1106","Director's Reserve","Scotland",3,NA,NA,"G",NA
"1107","Dirker Whisky","Germany",3,2,78.25,"E",NA
"1108","Dirty Dianne","Scotland",1,1,86.64,"C",NA
"1109","Discovery Road","United Kingdom",4,1,82,"D",NA
"1110","Distillations","",1,NA,NA,"G",NA
"1111","Distilled at Islay","Scotland",1,NA,NA,"G",NA
"1112","Distillerie de Monsieur Balthazar","France",2,2,74.17,"F",NA
"1113","Distillerie du Pays d'Othe","France",3,3,71.83,"F",NA
"1114","Distillerie Theo Preiss","France",2,2,75.5,"E",NA
"1115","Distillery 291","United States",6,NA,NA,"G",NA
"1116","Diùn-Laoch","Scotland",1,1,81.25,"D",NA
"1117","Dixon's","Scotland",1,NA,NA,"G",NA
"1118","Do Good Distillery","United States",1,1,78.5,"E",NA
"1119","Doc Porter's","United States",NA,NA,NA,"G",NA
"1120","Doctors' Special","Scotland",2,1,84,"D",NA
"1121","Dog Head","Germany",2,NA,NA,"G",NA
"1122","Doinich Daal","Germany",3,3,77.17,"E",NA
"1123","Dolleruper","Germany",3,1,50,"G",NA
"1124","Domaine de Bourjac","France",1,1,71,"F",NA
"1125","Domaine des Hautes Glaces","France",23,15,78.69,"E",NA
"1126","Domus Cardinalis","France",1,1,80,"D",NA
"1127","Don of Schwetzingen","Germany",1,1,89.67,"C",NA
"1128","Don of the Isles","Germany",3,3,89.87,"C",NA
"1129","Donatella","Germany",8,2,90,"B",NA
"1130","Donker","Netherlands",3,3,80.58,"D",NA
"1131","Door County","United States",1,NA,NA,"G",NA
"1132","Dorfbachwasser","Switzerland",9,3,78.89,"E",NA
"1133","Double Barrel","Scotland",23,21,82.95,"D",NA
"1134","Double Cask","Scotland",3,3,84.95,"D",NA
"1135","Double Q","Scotland",1,1,76,"E",NA
"1136","Double Springs","United States",1,NA,NA,"G",NA
"1137","Dow's","Scotland",2,NA,NA,"G",NA
"1138","Dowling","United States",1,NA,NA,"G",NA
"1139","Downslope","United States",2,NA,NA,"G",NA
"1140","Doz de Dauzanges","France",1,1,65,"G",NA
"1141","Drago","Spain",1,1,77.5,"E",NA
"1142","Dram 101","Scotland",2,NA,NA,"G",NA
"1143","Dram House","Scotland",1,1,79,"E",NA
"1144","Dram Òrach","Scotland",1,NA,NA,"G",NA
"1145","Dram Regional","Scotland",9,9,83.01,"D",NA
"1146","Dram Select","Scotland",1,NA,NA,"G",NA
"1147","Dresdner Single Malt Whisky","Germany",1,NA,NA,"G",NA
"1148","Drexler","Germany",37,11,72.7,"F",NA
"1149","Driftwood","Scotland",1,1,73.5,"F",NA
"1150","Druichan Islay","Scotland",2,2,69,"G",NA
"1151","Drum","Indonesia",3,2,71,"F",NA
"1152","Drum Major","Scotland",3,3,77.44,"E",NA
"1153","Drumblade","Scotland",2,1,82.5,"D",NA
"1154","Drumbowie","Scotland",1,1,89,"C",NA
"1155","Drumguish","Scotland",9,4,65.63,"G",NA
"1156","Drummore's","Scotland",1,NA,NA,"G",NA
"1157","Drumochter","Scotland",2,NA,NA,"G",NA
"1158","Drury's","Scotland",1,1,81,"D",NA
"1159","Dry County Distillery","United States",4,NA,NA,"G",NA
"1160","Dry Fly","United States",15,11,80.36,"D",NA
"1161","Dublin","Ireland",1,1,77,"E",NA
"1162","Dublin in the Rare Ould Times","Ireland",1,1,76.75,"E",NA
"1163","Ducan's","Ireland",1,NA,NA,"G",NA
"1164","Duck Bay","Scotland",1,NA,NA,"G",NA
"1165","Dufftown","Scotland",265,186,84.99,"D",NA
"1166","Dufftown Highland Games","Scotland",1,NA,NA,"G",NA
"1167","Dufftown Tower Malt","Scotland",1,NA,NA,"G",NA
"1168","Duggan's Dew","Scotland",3,NA,NA,"G",NA
"1169","Duke","United States",1,1,70,"F",NA
"1170","Dumbarton","Scotland",55,36,86.51,"C",NA
"1171","Dumbarton Castle","Scotland",1,NA,NA,"G",NA
"1172","Dun Bheagan","Scotland",23,16,80.29,"D",NA
"1173","Dún Léire","Ireland",2,2,86.86,"C",NA
"1174","Dun Mhor","Scotland",4,1,79,"E",NA
"1175","Dun Naomhaig Bay","Scotland",2,2,87.11,"C",NA
"1176","Dun Naomhaig Water","Scotland",5,4,86.08,"C",NA
"1177","Dunadd","Scotland",6,NA,NA,"G",NA
"1178","Dunaverty","Scotland",3,3,88.13,"C",NA
"1179","Duncan Gilmour's","Scotland",1,NA,NA,"G",NA
"1180","Duncan MacGregor","Scotland",1,1,84,"D",NA
"1181","Duncan Special","Scotland",1,1,70,"F",NA
"1182","Duncraggan","Scotland",1,NA,NA,"G",NA
"1183","Duncraig","Scotland",2,NA,NA,"G",NA
"1184","Dundalgan","Ireland",2,2,74.5,"F",NA
"1185","Dundalk Dew","Ireland",1,1,82.75,"D",NA
"1186","Dundee 800","Scotland",1,NA,NA,"G",NA
"1187","Dunedin","New Zealand",3,1,76,"E",NA
"1188","Dunfermline Athletic Football Club","Scotland",2,NA,NA,"G",NA
"1189","Dunglass","Scotland",9,6,77.59,"E",NA
"1190","Dunhill","Scotland",9,NA,NA,"G",NA
"1191","Dunhillion","Scotland",1,NA,NA,"G",NA
"1192","Duniva","Scotland",1,NA,NA,"G",NA
"1193","Dunlow","Ireland",1,1,73,"F",NA
"1194","Dunnottar","Scotland",1,1,82,"D",NA
"1195","Dunnyveg","Scotland",1,1,84,"D",NA
"1196","Dunosdale Cream","Scotland",1,NA,NA,"G",NA
"1197","Dunphy's","Ireland",2,2,75.75,"E",NA
"1198","Dunstone","Scotland",3,1,20,"G",NA
"1199","Duntreath","Scotland",1,NA,NA,"G",NA
"1200","Dunvegan","Scotland",2,NA,NA,"G",NA
"1201","Dunvegan Castle","Scotland",1,NA,NA,"G",NA
"1202","Dunville's","Ireland",8,5,79,"E",NA
"1203","Dunwoodie","Scotland",1,NA,NA,"G",NA
"1204","Dunyvaig","Scotland",5,5,88.73,"C",NA
"1205","Dunyvaig Bay","Scotland",1,1,85.67,"C",NA
"1206","Duo Malt Whisky","Germany",1,1,85.5,"C",NA
"1207","Dutch Guts","Netherlands",4,1,84,"D",NA
"1208","DutchSky","Netherlands",2,2,61.03,"G",NA
"1209","Duvel Moortgat","Belgium",2,2,43.73,"G",NA
"1210","DYC","Spain",20,10,68.87,"G",NA
"1211","Dyflin","Ireland",1,1,78,"E",NA
"1212","E&K","",1,1,88.43,"C",NA
"1213","Eades","Scotland",6,3,82.67,"D",NA
"1214","Eagle of Spey","Scotland",8,6,87.53,"C",NA
"1215","Eagle Rare","United States",53,37,85.89,"C",NA
"1216","Eaglesburn","Netherlands",6,3,81,"D",NA
"1217","Eaglesome's","Scotland",3,NA,NA,"G",NA
"1218","Early Times","United States",21,8,76.01,"E",NA
"1219","East Lothian","Scotland",1,1,86.5,"C",NA
"1220","East Marypark Distillery","Scotland",1,1,86.4,"C",NA
"1221","East Shore Islay Malt","Scotland",1,1,85.2,"C",NA
"1222","Eastmoor","Netherlands",4,4,78.22,"E",NA
"1223","Eaton's","Scotland",3,1,82,"D",NA
"1224","Eau Claire Distillery","Canada",1,NA,NA,"G",NA
"1225","Ebenezer Place","Scotland",1,NA,NA,"G",NA
"1226","Echo Spring","United States",3,NA,NA,"G",NA
"1227","Eckes","Austria",2,NA,NA,"G",NA
"1228","Ed Gwenn","France",1,1,80,"D",NA
"1229","Eddu","France",12,12,78.65,"E",NA
"1230","Edelbrände Senft","Germany",13,11,72.43,"F",NA
"1231","Eden Mill","Scotland",22,16,83.02,"D",NA
"1232","Edenside","Scotland",1,NA,NA,"G",NA
"1233","Edgefield","United States",8,3,81,"D",NA
"1234","Edinburgh","Scotland",1,NA,NA,"G",NA
"1235","Edinburgh Castle","Scotland",3,3,74.33,"F",NA
"1236","Edinburgh Festival","Scotland",12,5,84.57,"D",NA
"1237","Edinburgh Woollen Mill","Scotland",1,NA,NA,"G",NA
"1238","Edinburgh's Hogmanay","Scotland",1,NA,NA,"G",NA
"1239","Edradour","Scotland",795,639,83.27,"D",NA
"1240","Egan's","Ireland",2,1,82.67,"D",NA
"1241","EH10","Scotland",1,NA,NA,"G",NA
"1242","Eifel Destillate","Germany",29,13,77.81,"E",NA
"1243","Eigashima","Japan",3,2,85.09,"C",NA
"1244","Eiger Wasser","Switzerland",1,1,84,"D",NA
"1245","Eight Fellows","Scotland",1,NA,NA,"G",NA
"1246","Eighteen 33","United States",2,1,75,"E",NA
"1247","Eiktyrne","Norway",6,6,81.21,"D",NA
"1248","Eilan Gillan","Scotland",5,5,78.75,"E",NA
"1249","Eilean A'cheo","Scotland",1,NA,NA,"G",NA
"1250","Eilean Dhubh","Scotland",1,NA,NA,"G",NA
"1251","Eilean Donan Castle","Scotland",2,NA,NA,"G",NA
"1252","Eilean Na Hearadh","Scotland",1,NA,NA,"G",NA
"1253","Eileandour","Scotland",1,NA,NA,"G",NA
"1254","Éim Néckels","Luxembourg",1,1,78,"E",NA
"1255","El Máximo","Scotland",8,8,84.71,"D",NA
"1256","Elbe 1","Germany",4,3,71.89,"F",NA
"1257","Elbe-Valley NORDIK Whisky","Germany",4,4,60.67,"G",NA
"1258","Elch Whisky","Germany",5,5,84.28,"D",NA
"1259","Eleuthera","Scotland",6,4,87.94,"C",NA
"1260","Elijah Craig","United States",221,71,85.51,"C",NA
"1261","Elk Rider","United States",7,3,79.33,"E",NA
"1262","Ellensburg","United States",1,NA,NA,"G",NA
"1263","Ellenstown","Scotland",2,1,77,"E",NA
"1264","Ellington Reserve","Canada",1,NA,NA,"G",NA
"1265","Ellis's 99","Scotland",1,NA,NA,"G",NA
"1266","Elmer T. Lee","United States",8,6,84.48,"D",NA
"1267","Elsass Whisky","France",4,3,81.92,"D",NA
"1268","Embassy","United States",1,NA,NA,"G",NA
"1269","Embassy","Philippines",1,NA,NA,"G",NA
"1270","Embassy Club","Scotland",1,NA,NA,"G",NA
"1271","Emblem","Japan",1,NA,NA,"G",NA
"1272","Emerald Isle","Ireland",3,3,90.82,"B",NA
"1273","Empire 8","Australia",1,1,78,"E",NA
"1274","Enchanting Emma","Scotland",1,1,86.8,"C",NA
"1275","Enghaven","Denmark",1,1,61,"G",NA
"1276","Engine 49","United States",4,1,87,"C",NA
"1277","English Spirit Distillery","United Kingdom",4,4,87.13,"C",NA
"1278","Enlightenment","Scotland",2,2,85.92,"C",NA
"1279","Entrapment","Canada",1,1,100,"A",NA
"1280","Envy","England",1,NA,NA,"G",NA
"1281","Eorna","Scotland",1,1,78,"E",NA
"1282","Eòrna-Lòin","Scotland",1,1,82.75,"D",NA
"1283","Epicure","Scotland",1,NA,NA,"G",NA
"1284","Equipo Navazos","",1,1,86,"C",NA
"1285","eRètico","Italy",1,1,61.33,"G",NA
"1286","Ergaster","France",1,1,73,"F",NA
"1287","Erin Go Bragh","Ireland",2,1,85,"C",NA
"1288","Erin's","Ireland",2,2,84.5,"D",NA
"1289","Erin's Isle","Ireland",2,1,75,"E",NA
"1290","Erismann","Switzerland",2,2,79.5,"E",NA
"1291","Erlebnisbrennerei Kallnach","Switzerland",3,3,73.83,"F",NA
"1292","Esquire","Scotland",2,1,81,"D",NA
"1293","Evan Williams","United States",172,88,82.42,"D",NA
"1294","Evan Williams 1783","United States",3,1,80,"D",NA
"1295","Everclear","United States",1,1,70,"F",NA
"1296","Evermore","Japan",8,1,87,"C",NA
"1297","Everton's","Scotland",1,NA,NA,"G",NA
"1298","Evolution","Scotland",9,8,88.92,"C",NA
"1299","Excalibur","Scotland",6,2,83.29,"D",NA
"1300","Excellency Club","Scotland",1,NA,NA,"G",NA
"1301","Excise Officer's Dram","Scotland",1,NA,NA,"G",NA
"1302","Exclusive Malts","Scotland",1,1,85.67,"C",NA
"1303","Executive","Scotland",2,NA,NA,"G",NA
"1304","Exhibition","Scotland",7,3,86.83,"C",NA
"1305","Exotic Cargo","Scotland",3,2,87.4,"C",NA
"1306","Express Load","United States",NA,NA,NA,"G",NA
"1307","Eylandt Legend","Netherlands",7,5,64.2,"G",NA
"1308","Ezra Brooks","United States",40,21,81.55,"D",NA
"1309","Ezra Cox Distillery","United States",1,NA,NA,"G",NA
"1310","Fading Hill","Germany",20,13,77.92,"E",NA
"1311","Fado Vivo","Belgium",1,1,83.67,"D",NA
"1312","Fafnir","France",1,1,65,"G",NA
"1313","Fairgrounds","United States",1,NA,NA,"G",NA
"1314","Fairy Flag","Scotland",1,1,80,"D",NA
"1315","Falcon","Scotland",1,NA,NA,"G",NA
"1316","Fall Springs","United States",1,NA,NA,"G",NA
"1317","Fallsteiner-Whisky","Germany",2,1,61.5,"G",NA
"1318","Family-Owned Distillery","Scotland",1,1,86,"C",NA
"1319","Fantastic Fred","Scotland",1,1,86,"C",NA
"1320","Farmer John's","United States",1,NA,NA,"G",NA
"1321","Farmer's Club","Switzerland",1,1,62,"G",NA
"1322","Farmer's Malt","Scotland",6,2,80,"D",NA
"1323","Farrell","Ireland",1,1,77,"E",NA
"1324","Farthofer","Austria",2,NA,NA,"G",NA
"1325","Fary Lochan","Denmark",22,15,79.66,"E",NA
"1326","Fascadale","Scotland",9,9,84.61,"D",NA
"1327","Fauchon","France",1,NA,NA,"G",NA
"1328","Faultline","Scotland",4,2,83,"D",NA
"1329","Favourite Distillery","Scotland",1,1,91,"B",NA
"1330","Fearless","United States",2,1,79,"E",NA
"1331","FECKiN","Ireland",5,4,70.96,"F",NA
"1332","Federal Club","United States",4,NA,NA,"G",NA
"1333","Federal Reserve","United States",1,NA,NA,"G",NA
"1334","Feindestillerie Geistreich","Germany",1,NA,NA,"G",NA
"1335","Feisty Spirits","United States",3,NA,NA,"G",NA
"1336","Feller","Germany",13,9,82.24,"D",NA
"1337","Fellsglen","Scotland",1,NA,NA,"G",NA
"1338","Feral Clangs","Scotland",1,1,89.83,"C",NA
"1339","Ferintosh","Scotland",2,2,59,"G",NA
"1340","Ferry to Islay","Scotland",6,3,85.69,"C",NA
"1341","Fest!","Scotland",1,NA,NA,"G",NA
"1342","Fettercairn","Scotland",329,241,83.92,"D",NA
"1343","Feuerwasser","Scotland",1,1,86,"C",NA
"1344","FEW","United States",25,20,82.3,"D",NA
"1345","Fiddler's Choice","Canada",1,1,86,"C",NA
"1346","Fife-Keith Reserve","Scotland",1,NA,NA,"G",NA
"1347","Fifth State","United States",NA,NA,NA,"G",NA
"1348","Fifty / Fifty","Scotland",3,3,82.91,"D",NA
"1349","Fifty Six Degrees","Scotland",1,1,73,"F",NA
"1350","Fighting Cock","United States",9,6,85.52,"C",NA
"1351","Filibuster","United States",5,2,82.38,"D",NA
"1352","Finch","Germany",35,31,79.45,"E",NA
"1353","Finch's","Scotland",1,NA,NA,"G",NA
"1354","Findlater's","Scotland",23,6,82.18,"D",NA
"1355","Fine Blended Malt Whisky","",NA,NA,NA,"G",NA
"1356","Fine Blended Malt Whisky","",1,1,90.25,"B",NA
"1357","Fine Blended Whisky","Scotland",1,1,89.84,"C",NA
"1358","Fine Single Grain Whisky","Scotland",1,1,91.43,"B",NA
"1359","Fine Single Highland Scotch Malt Whisky","Scotland",3,1,94,"B",NA
"1360","Fine Single Orkney Scotch Malt Whisky","Scotland",1,NA,NA,"G",NA
"1361","Fine Single Speyside Scotch Malt Whisky","Scotland",1,1,90,"B",NA
"1362","Fine Tennessee Whiskey","United States",1,1,86.38,"C",NA
"1363","Finest Blended Scotch Whisky","Scotland",1,NA,NA,"G",NA
"1364","Finest Irish","Ireland",1,1,89.91,"C",NA
"1365","Finest Old Blended Scotch Whisky","Scotland",1,NA,NA,"G",NA
"1366","Finest Tyrolian","Austria",1,1,84,"D",NA
"1367","Finian's","Ireland",1,NA,NA,"G",NA
"1368","Finlaggan","Scotland",48,36,82.03,"D",NA
"1369","Finnegan","Ireland",2,2,77,"E",NA
"1370","Finoh's","United States",1,NA,NA,"G",NA
"1371","Fior Càirdeas","Scotland",1,NA,NA,"G",NA
"1372","Fiorghlan","Scotland",2,NA,NA,"G",NA
"1373","Fire Water","United States",1,NA,NA,"G",NA
"1374","Firean","Scotland",1,1,71.33,"F",NA
"1375","Firefly","United States",1,1,87,"C",NA
"1376","First and Foremost","Scotland",1,NA,NA,"G",NA
"1377","First Foot","Scotland",1,NA,NA,"G",NA
"1378","Firstwatch","",2,2,70,"F",NA
"1379","Fish Wasser","Switzerland",3,1,74.5,"F",NA
"1380","Fisselier","France",1,NA,NA,"G",NA
"1381","Fitch's Goat","United States",2,NA,NA,"G",NA
"1382","Flaitheanas","Scotland",1,1,88.57,"C",NA
"1383","Flaming Cask","Scotland",4,NA,NA,"G",NA
"1384","Flaming Fergie","Scotland",1,1,86.44,"C",NA
"1385","Flaming Heart","Scotland",9,8,87.29,"C",NA
"1386","Flaming Pig","Ireland",1,1,64,"G",NA
"1387","Flannigans","Ireland",1,1,77,"E",NA
"1388","Flatnöse","Scotland",4,3,81.71,"D",NA
"1389","Fleeting","Scotland",4,4,85.79,"C",NA
"1390","Fleischmann's","United States",5,NA,NA,"G",NA
"1391","Fletcher's","Scotland",2,NA,NA,"G",NA
"1392","Fleurieu Distillery","Australia",4,NA,NA,"G",NA
"1393","Flóki","Iceland",27,21,68.83,"G",NA
"1394","Florida Caribbean","United States",3,NA,NA,"G",NA
"1395","Flower of Scotland","Scotland",12,1,81.6,"D",NA
"1396","Flowery Moon","Scotland",1,1,88.25,"C",NA
"1397","Floyd's 55","Germany",NA,NA,NA,"G",NA
"1398","Fochabers Bicentenary","Scotland",1,1,84,"D",NA
"1399","Fog's End","United States",2,1,69,"G",NA
"1400","For Ever Young Pristine","Scotland",1,1,92.67,"B",NA
"1401","Foreman","",1,NA,NA,"G",NA
"1402","Forgan","United Kingdom",1,NA,NA,"G",NA
"1403","Forged Oak","United States",1,1,86.67,"C",NA
"1404","Fort George","Scotland",1,NA,NA,"G",NA
"1405","Fortbacher","Germany",1,1,80,"D",NA
"1406","Forth Bridge Centennial","Scotland",1,NA,NA,"G",NA
"1407","Forties","Scotland",1,1,86,"C",NA
"1408","Fortnum & Mason","United Kingdom",3,NA,NA,"G",NA
"1409","Forty Creek","Canada",18,16,82.33,"D",NA
"1410","Founders","Scotland",1,NA,NA,"G",NA
"1411","Founders Whisky","Scotland",1,NA,NA,"G",NA
"1412","Four Kings","United States",2,NA,NA,"G",NA
"1413","Four Roses","United States",845,204,83.81,"D",NA
"1414","Foxy Fiona","Scotland",1,1,86.93,"C",NA
"1415","Francis","Scotland",8,1,79,"E",NA
"1416","Franklin County Distilleries","United States",2,NA,NA,"G",NA
"1417","Franziskus","Germany",1,1,13,"G",NA
"1418","Fraser Mc.Donald's","Scotland",1,NA,NA,"G",NA
"1419","Fraser's","Scotland",2,NA,NA,"G",NA
"1420","Frasers Reserve","Scotland",3,3,70.78,"F",NA
"1421","Frazer McHugh","Scotland",1,NA,NA,"G",NA
"1422","Frederick's","",1,1,90.09,"B",NA
"1423","Freihof","Switzerland",6,2,76.25,"E",NA
"1424","Fremont Mischief","United States",2,1,60,"G",NA
"1425","Friar John Cor","Scotland",2,2,72.75,"F",NA
"1426","Fritzen's","Germany",1,NA,NA,"G",NA
"1427","From arguably the Greatest Speyside Distillery!","Scotland",1,NA,NA,"G",NA
"1428","Fruity Moon","Scotland",1,1,74.5,"F",NA
"1429","Frysk Hynder","Netherlands",114,67,73.87,"F",NA
"1430","Fuaran Ile","Scotland",26,11,86.76,"C",NA
"1431","Fuji Gotemba","Japan",44,27,84.49,"D",NA
"1432","Fujikai","Japan",1,1,59.21,"G",NA
"1433","Fukano","Japan",6,2,85.34,"C",NA
"1434","Full House","United States",1,NA,NA,"G",NA
"1435","Funky Monkey","United States",1,NA,NA,"G",NA
"1436","Fuyu","Japan",1,1,78.75,"E",NA
"1437","Fyr Drenc","United Kingdom",3,1,87,"C",NA
"1438","G. Rozelieures","France",12,8,78.07,"E",NA
"1439","G.I. Whiskey","United States",2,NA,NA,"G",NA
"1440","Gairloch","Scotland",1,NA,NA,"G",NA
"1441","Galahad","Scotland",1,1,86.33,"C",NA
"1442","Galena Reserve","United States",1,NA,NA,"G",NA
"1443","Gall huiswhisky","Ireland",1,1,69.75,"G",NA
"1444","Gallagher & Burton's","United States",1,NA,NA,"G",NA
"1445","Gallantry","United States",2,1,64,"G",NA
"1446","Galleg","France",1,1,55.67,"G",NA
"1447","Gammelstilla","Sweden",2,2,85.84,"C",NA
"1448","Gantree's","United States",1,NA,NA,"G",NA
"1449","Garavan's","Ireland",1,NA,NA,"G",NA
"1450","Garn Kirk","Scotland",1,NA,NA,"G",NA
"1451","Garnheath","Scotland",26,21,86.63,"C",NA
"1452","Garrison Brothers","United States",12,6,78.12,"E",NA
"1453","Garryana","United States",2,2,89.5,"C",NA
"1454","Gasthof Hirsch","Germany",1,1,58,"G",NA
"1455","Gäu Whisky","Germany",5,1,83,"D",NA
"1456","Gelephu","Bhutan",1,NA,NA,"G",NA
"1457","Gelston's","Ireland",3,2,88.75,"C",NA
"1458","Gemenc","Hungary",2,1,78,"E",NA
"1459","Gemikste Schotse klap in je smoel uit Rotterdam","Netherlands",1,1,79,"E",NA
"1460","Gems of Scotland","Scotland",7,6,80.72,"D",NA
"1461","General","Scotland",1,NA,NA,"G",NA
"1462","General Nelson","Norway",1,NA,NA,"G",NA
"1463","Genius","",1,NA,NA,"G",NA
"1464","Gentleman","Scotland",1,1,91.5,"B",NA
